Date,Vendor,Brand,Campaign,Marketing_Channel,Sub_Channel,Daily_Spend,Daily_Impressions,Spend_Type
2025-02-19,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1113.16,69573,Actual
2025-02-20,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1097.31,68582,Actual
2025-02-21,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1189.82,97374,Actual
2025-02-22,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1143.75,97397,Actual
2025-02-23,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,717.82,44982,Actual
2025-02-24,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1010.46,86707,Actual
2025-02-25,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,679.68,42527,Actual
2025-02-26,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1069.74,91379,Actual
2025-02-27,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1113.54,69643,Actual
2025-02-28,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1187.17,96311,Actual
2025-03-05,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2003.92,137375,Actual
2025-03-06,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1985.8,136101,Actual
2025-03-07,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2127.78,145282,Actual
2025-03-08,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2123.62,145092,Actual
2025-03-09,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,854.89,56262,Actual
2025-03-10,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2074.16,144338,Actual
2025-03-11,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2159.87,147193,Actual
2025-03-12,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2147.41,146225,Actual
2025-03-13,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2130.04,145164,Actual
2025-03-14,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2157.23,146745,Actual
2025-03-15,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2091.15,142875,Actual
2025-03-16,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,967.03,67190,Actual
2025-03-17,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2099.83,148303,Actual
2025-03-18,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2011.48,137682,Actual
2025-03-19,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2059.81,140868,Actual
2025-03-20,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2076.04,141765,Actual
2025-03-21,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2168.93,147405,Actual
2025-03-22,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2097.19,143464,Actual
2025-03-23,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1036.89,71957,Actual
2025-03-24,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2036.4,144055,Actual
2025-03-25,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2105.12,143559,Actual
2025-03-26,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2174.6,148137,Actual
2025-03-27,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2078.31,141859,Actual
2025-03-28,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2075.29,141695,Actual
2025-03-29,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2155.34,146721,Actual
2025-03-30,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,924.74,64498,Actual
2025-03-31,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,2037.53,142167,Actual
