Day,SPEND,impressions
21/12/2024,"$1.622,87",294.458
22/12/2024,"$1.598,52",290.217
23/12/2024,"$1.634,72",296.650
24/12/2024,"$1.608,58",292.001
25/12/2024,"$1.629,13",295.114
26/12/2024,"$1.603,71",290.519
27/12/2024,"$1.648,90",299.242
28/12/2024,"$1.588,43",287.993
29/12/2024,"$1.660,94",301.373
30/12/2024,"$1.636,79",296.994
31/12/2024,"$1.585,28",287.416
1/01/2025,"$1.620,55",235.451
2/01/2025,"$1.683,48",244.496
3/01/2025,"$1.573,22",228.382
4/01/2025,"$1.629,03",236.727
5/01/2025,"$1.657,41",240.804
6/01/2025,"$1.590,16",230.877
7/01/2025,"$1.646,74",239.233
8/01/2025,"$1.598,82",232.085
9/01/2025,"$1.651,12",239.679
10/01/2025,"$1.588,27",230.601
11/01/2025,"$1.668,55",242.016
12/01/2025,"$1.634,79",237.051
13/01/2025,"$1.615,96",234.361
14/01/2025,"$1.581,29",229.098
15/01/2025,"$1.644,83",238.958
16/01/2025,"$1.623,14",235.792
17/01/2025,"$1.660,05",241.253
18/01/2025,"$1.599,54",232.188
19/01/2025,"$1.635,43",237.140
20/01/2025,"$1.590,79",230.964
21/01/2025,"$1.667,01",241.794
22/01/2025,"$1.604,82",232.841
23/01/2025,"$1.639,05",237.668
24/01/2025,"$1.586,41",230.336
25/01/2025,"$1.654,63",240.183
26/01/2025,"$1.609,72",233.563
27/01/2025,"$1.646,09",239.141
28/01/2025,"$1.597,28",231.864
29/01/2025,"$1.661,52",241.469
30/01/2025,"$1.586,90",230.404
31/01/2025,"$1.657,94",240.879
